user_id,country,gender,group,num_purchase_days,total_spent,converted
1000000,CAN,M,B,0,0.0,False
1000001,BRA,M,A,0,0.0,False
1000002,FRA,M,A,0,0.0,False
1000003,BRA,M,B,0,0.0,False
1000004,DEU,F,A,0,0.0,False
1000005,GBR,F,B,0,0.0,False
1000006,ESP,M,B,0,0.0,False
1000007,BRA,F,A,0,0.0,False
1000008,BRA,F,A,0,0.0,False
1000009,USA,U,A,0,0.0,False
1000010,BRA,M,B,0,0.0,False
1000012,USA,M,B,0,0.0,False
1000013,GBR,F,A,0,0.0,False
1000014,USA,M,A,0,0.0,False
1000015,AUS,F,A,0,0.0,False
1000016,DEU,F,A,0,0.0,False
1000017,MEX,O,B,0,0.0,False
1000018,USA,M,B,0,0.0,False
1000019,MEX,F,B,0,0.0,False
1000020,AUS,M,A,0,0.0,False
1000021,GBR,M,B,0,0.0,False
1000022,DEU,F,B,0,0.0,False
1000023,BRA,M,B,0,0.0,False
1000024,CAN,M,A,0,0.0,False
1000025,USA,M,A,0,0.0,False
1000026,DEU,F,B,0,0.0,False
1000027,BRA,U,B,0,0.0,False
1000028,BRA,F,A,0,0.0,False
1000029,MEX,M,A,0,0.0,False
1000030,FRA,F,A,0,0.0,False
1000031,GBR,F,B,0,0.0,False
1000032,GBR,U,A,0,0.0,False
1000033,FRA,U,A,0,0.0,False
1000034,USA,M,A,0,0.0,False
1000035,USA,F,B,0,0.0,False
1000036,USA,F,B,0,0.0,False
1000037,TUR,M,B,0,0.0,False
1000038,BRA,M,A,0,0.0,False
1000039,GBR,F,B,1,36.65,True
1000040,USA,F,A,0,0.0,False
1000041,CAN,M,A,0,0.0,False
1000042,BRA,F,A,0,0.0,False
1000043,UNK,F,B,0,0.0,False
1000044,USA,U,B,0,0.0,False
1000045,USA,F,B,1,51.58,True
1000046,BRA,M,A,0,0.0,False
1000047,USA,F,A,0,0.0,False
1000048,CAN,F,A,0,0.0,False
1000049,USA,F,A,0,0.0,False
1000050,MEX,M,A,0,0.0,False
1000051,MEX,U,B,0,0.0,False
1000052,BRA,M,B,0,0.0,False
1000053,BRA,M,A,0,0.0,False
